Components List
0	1	0	09010000	0	0	360	360	1352	1862	Image/Icon
1	2	0	09010000	290	111	14	14	1124	1156	Image/Icon
2	3	0	0b8a0300	279	111	10	150	131462	131494	Battery no
3	3	0	0b8a0300	268	111	10	150	131462	131494	Battery no
4	3	0	0b8a0300	257	111	10	150	131462	131494	Battery no
5	4	0	108a8300	281	236	10	150	131462	131494	Heart Rate no
6	4	0	108a8300	270	236	10	150	131462	131494	Heart Rate no
7	4	0	108a8300	259	236	10	150	131462	131494	Heart Rate no
8	5	0	fa080000	70	110	8	2	65535	0	Weather no+ label
9	5	0	fa080000	60	110	8	2	65535	0	Weather no+ label
10	5	0	fa8a4300	70	103	10	150	138280	138312	Weather no+ label
11	5	0	fa8a4300	60	103	10	150	138280	138312	Weather no+ label
12	5	0	fa8a4300	50	103	10	150	138280	138312	Weather no+ label
13	5	0	fa028000	81	103	17	14	132994	133026	Weather no+ label
14	5	0	fa028000	81	103	17	14	136198	136230	Weather no+ label
15	5	0	fa002000	50	110	6	2	65535	0	Weather no+ label
16	6	0	0f8a8400	238	78	10	150	138280	138312	Calories no
17	6	0	0f8a8400	228	78	10	150	138280	138312	Calories no
18	6	0	0f8a8400	218	78	10	150	138280	138312	Calories no
19	6	0	0f8a8400	208	78	10	150	138280	138312	Calories no
20	7	0	170a0000	0	0	0	0	0	0	Weather label
21	7	0	17090000	57	56	41	33	133264	133464	Weather label
22	7	0	17090000	59	54	36	36	149797	149959	Weather label
23	7	0	17090000	59	56	36	33	147119	147317	Weather label
24	7	0	17090000	61	56	32	33	142994	143164	Weather label
25	7	0	17090000	59	57	36	31	141698	141878	Weather label
26	7	0	17090000	60	56	35	33	144220	144432	Weather label
27	7	0	17090000	58	57	39	31	155767	156001	Weather label
28	7	0	17090000	58	56	39	32	136468	136666	Weather label
29	7	0	17090000	58	57	38	31	140292	140520	Weather label
30	8	0	038a8200	314	153	9	140	134817	134849	Month no
31	8	0	038a8200	304	153	9	140	134817	134849	Month no
32	9	0	028a8200	280	153	9	140	134817	134849	Date no
33	9	0	028a8200	270	153	9	140	134817	134849	Date no
34	10	0	09010000	294	158	6	2	139812	139822	Image/Icon
35	11	0	09010000	58	190	0	0	145587	145619	Image/Icon
36	12	0	09010000	48	190	0	0	145587	145619	Image/Icon
37	13	0	09010000	93	190	0	0	145587	145619	Image/Icon
38	14	0	09010000	83	190	0	0	145587	145619	Image/Icon
39	15	1	0c020082	73	190	13	14	137914	137944	Sleep label
40	16	1	09010000	70	185	0	0	138126	138140	Image/Icon
41	17	1	09010000	108	190	0	0	139866	139898	Image/Icon
42	18	1	09010000	103	185	0	0	140094	140124	Image/Icon
43	19	1	0e8a8500	251	271	9	140	148505	148537	Steps no
44	20	1	0e8a8500	241	271	9	140	148505	148537	Steps no
45	21	1	0e8a8500	231	271	9	140	148505	148537	Steps no
46	22	1	0e8a8500	221	271	9	140	148505	148537	Steps no
47	23	1	0e8a8500	211	271	9	140	148505	148537	Steps no
48	24	1	008a8200	272	172	16	280	151255	151287	Hour no
49	25	1	008a8200	251	172	16	280	151255	151287	Hour no
50	26	1	018a8200	324	172	16	280	151255	151287	Minute no
51	27	1	018a8200	303	172	16	280	151255	151287	Minute no
52	28	1	09010000	292	179	5	15	136109	136123	Image/Icon
53	29	1	1a131000	180	180	140	140	157210	320647	Analog x5
54	30	1	1a131201	180	180	176	176	338567	548171	Analog x5
55	31	1	1a131002	180	180	192	192	570699	678213	Analog x5
